#{"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lifespanpercent":0.9,"lockdown":{"dynamic_bool":false,"lock_style":{"LimitContacts":2},"lock_threshold":0.1,"release_threshold":0.05},"num_networks":1000,"recovery_prob":0.14,"sir_seed":1489264107025,"system_size_range":[200,600,1200,4800,9600],"trans_prob_range":{"end":0.4,"start":0.05,"steps":70}}
#lambda percentlifespan
0.05 69
0.05507246376811595 71
0.060144927536231886 72
0.06521739130434782 72
0.07028985507246377 72
0.07536231884057971 76
0.08043478260869566 78
0.0855072463768116 81
0.09057971014492755 76
0.09565217391304348 81
0.10072463768115943 82
0.10579710144927537 82
0.1108695652173913 86
0.11594202898550726 82
0.1210144927536232 80
0.12608695652173912 84
0.13115942028985508 85
0.13623188405797104 83
0.14130434782608697 82
0.1463768115942029 86
0.15144927536231884 85
0.15652173913043482 87
0.16159420289855073 85
0.16666666666666669 85
0.17173913043478262 85
0.17681159420289855 84
0.18188405797101453 84
0.18695652173913047 87
0.1920289855072464 86
0.19710144927536233 82
0.20217391304347826 85
0.20724637681159425 82
0.21231884057971018 83
0.2173913043478261 82
0.22246376811594204 87
0.22753623188405803 80
0.2326086956521739 82
0.2376811594202899 79
0.24275362318840582 83
0.24782608695652175 81
0.2528985507246377 82
0.2579710144927536 85
0.2630434782608696 83
0.26811594202898553 82
0.27318840579710146 81
0.2782608695652174 82
0.2833333333333333 82
0.2884057971014493 80
0.29347826086956524 77
0.2985507246376812 79
0.3036231884057971 82
0.30869565217391304 81
0.313768115942029 82
0.31884057971014496 77
0.3239130434782609 74
0.3289855072463768 79
0.3340579710144928 79
0.33913043478260874 80
0.34420289855072467 80
0.3492753623188406 80
0.35434782608695653 81
0.3594202898550725 80
0.36449275362318845 79
0.3695652173913043 81
0.3746376811594203 80
0.37971014492753624 78
0.38478260869565223 79
0.3898550724637681 76
0.3949275362318841 76
0.4 75
