#{"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda_range":{"end":0.4,"start":0.05,"steps":70},"lockdown":{"dynamic_bool":false,"lock_style":{"LimitContacts":2},"lock_threshold":0.1,"release_threshold":0.05},"num_networks":100,"recovery_prob":0.14,"sir_seed":1489264107025,"system_size_range":[200,400,600,1000,1200,1600,2000,2400,2800,3200]}
#lambda c var_c
0.05 0.08321666666666663 0.021853555833333364
0.05507246376811595 0.09200833333333323 0.025253157569444476
0.060144927536231886 0.10629583333333324 0.027655836440972248
0.06521739130434782 0.1281666666666665 0.03338870138888894
0.07028985507246377 0.14767083333333322 0.04075940657986117
0.07536231884057971 0.17482916666666656 0.04788072255208339
0.08043478260869566 0.19786666666666655 0.05410808777777783
0.0855072463768116 0.20292083333333333 0.05691197046875001
0.09057971014492755 0.2252166666666665 0.06469561625000009
0.09565217391304348 0.24496666666666653 0.06523016208333343
0.10072463768115943 0.25475 0.06760264236111115
0.10579710144927537 0.27714583333333315 0.06832286935763897
0.1108695652173913 0.29546249999999996 0.0719016663020834
0.11594202898550726 0.314425 0.07790687423611102
0.1210144927536232 0.3270875 0.07445747741319436
0.12608695652173912 0.3534374999999996 0.07689577560763901
0.13115942028985508 0.3940833333333332 0.07354242013888893
0.13623188405797104 0.39599583333333316 0.07772994060763888
0.14130434782608697 0.41801249999999995 0.0790195481076387
0.1463768115942029 0.42491666666666655 0.08127924305555548
0.15144927536231884 0.43088333333333323 0.08017166763888886
0.15652173913043482 0.4430624999999999 0.08060570963541666
0.16159420289855073 0.45819166666666655 0.07800851118055552
0.16666666666666669 0.4710499999999998 0.07839402944444437
0.17173913043478262 0.46495416666666656 0.08041069407986104
0.17681159420289855 0.4772666666666666 0.08059103930555547
0.18188405797101453 0.4757541666666663 0.0841370822743058
0.18695652173913047 0.4799958333333333 0.08546365102430556
0.1920289855072464 0.48632916666666637 0.08341795727430582
0.19710144927536233 0.49390833333333317 0.08167889159722222
0.20217391304347826 0.4991958333333331 0.08364551824652783
0.20724637681159425 0.5114000000000001 0.08316099138888888
0.21231884057971018 0.5246208333333332 0.07812737185763907
0.2173913043478261 0.5238541666666664 0.07801828255208354
0.22246376811594204 0.5339041666666665 0.08072423491319453
0.22753623188405803 0.5429291666666667 0.07869515435763907
0.2326086956521739 0.5458708333333334 0.0796096426909722
0.2376811594202899 0.5535666666666665 0.07697819208333351
0.24275362318840582 0.5564291666666663 0.07782804949652816
0.24782608695652175 0.5714124999999999 0.07697248921875022
0.2528985507246377 0.5869208333333331 0.07081027046875027
0.2579710144927536 0.5889083333333335 0.07141178048611097
0.2630434782608696 0.5925916666666667 0.07237940479166671
0.26811594202898553 0.6002374999999998 0.06906317796875017
0.27318840579710146 0.6055458333333333 0.06525938088541666
0.2782608695652174 0.6154416666666664 0.06722832923611138
0.2833333333333333 0.6186541666666663 0.06276479810763952
0.2884057971014493 0.6255916666666667 0.05889276451388881
0.29347826086956524 0.6320499999999998 0.060036662083333525
0.2985507246376812 0.6408708333333334 0.05652131630208318
0.3036231884057971 0.6428875000000001 0.056854417552083314
0.30869565217391304 0.6447916666666665 0.05720780729166697
0.313768115942029 0.6498416666666665 0.05811270756944459
0.31884057971014496 0.6475708333333331 0.05776153144097251
0.3239130434782609 0.6565166666666665 0.053800550416666926
0.3289855072463768 0.6593333333333333 0.05410779166666674
0.3340579710144928 0.6681875000000003 0.050145970052083266
0.33913043478260874 0.6756416666666665 0.04554227923611148
0.34420289855072467 0.6794124999999999 0.046160132274305654
0.3492753623188406 0.6797333333333334 0.04610654694444455
0.35434782608695653 0.6850083333333333 0.04685451381944444
0.3594202898550725 0.6905666666666668 0.0418868143055553
0.36449275362318845 0.6944166666666665 0.04241040625000031
0.3695652173913043 0.7016375 0.037589417552083226
0.3746376811594203 0.7061125000000001 0.038129434218749814
0.37971014492753624 0.7176083333333336 0.03337783895833302
0.38478260869565223 0.7107708333333332 0.03273186241319459
0.3898550724637681 0.7182249999999994 0.03346327993055653
0.3949275362318841 0.7135541666666668 0.03309928630208314
0.4 0.7143083333333335 0.03304660145833305
