#{"energy":"C","graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda":0.1763,"large_deviation_param":{"markov_seed":782063498562509862,"time_steps":100},"lockdown":{"dynamic_bool":true,"lock_style":{"Random":[12151515,0.6]},"lock_threshold":0.1,"release_threshold":0.05},"randomize":{"Markov":{"every":1,"step_size":100}},"recovery_prob":0.14,"samples":1000000,"sir_seed":1489264107025,"system_size":200}
#bin log10_prob hits
1 0.146436 146436
2 0.023806 23806
3 0.005917 5917
4 0.001971 1971
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0 0
37 0 0
38 0 0
39 0 0
40 0 0
41 0 0
42 0 0
43 0 0
44 0 0
45 0 0
46 0 0
47 0 0
48 0 0
49 0 0
50 0 0
51 0 0
52 0 0
53 0 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0.000139 139
59 0.000089 89
60 0 0
61 0 0
62 0 0
63 0 0
64 0.000283 283
65 0.000139 139
66 0.000905 905
67 0.000171 171
68 0.000793 793
69 0.00019 190
70 0.000334 334
71 0.000492 492
72 0.000225 225
73 0.000691 691
74 0.00067 670
75 0.001097 1097
76 0.000626 626
77 0.001061 1061
78 0.002132 2132
79 0.003234 3234
80 0.002674 2674
81 0.003682 3682
82 0.005696 5696
83 0.005682 5682
84 0.004842 4842
85 0.005595 5595
86 0.005513 5513
87 0.007518 7518
88 0.009299 9299
89 0.008597 8597
90 0.010185 10185
91 0.009512 9512
92 0.013059 13059
93 0.012967 12967
94 0.015208 15208
95 0.015746 15746
96 0.019374 19374
97 0.016067 16067
98 0.014967 14967
99 0.016208 16208
100 0.019058 19058
101 0.019763 19763
102 0.023227 23227
103 0.02135 21350
104 0.021915 21915
105 0.021423 21423
106 0.022731 22731
107 0.018282 18282
108 0.021814 21814
109 0.022724 22724
110 0.020087 20087
111 0.022547 22547
112 0.018885 18885
113 0.017815 17815
114 0.018238 18238
115 0.018556 18556
116 0.014074 14074
117 0.017203 17203
118 0.016252 16252
119 0.014852 14852
120 0.013703 13703
121 0.013584 13584
122 0.01531 15310
123 0.015331 15331
124 0.013181 13181
125 0.014051 14051
126 0.011931 11931
127 0.013279 13279
128 0.014595 14595
129 0.011823 11823
130 0.008197 8197
131 0.00689 6890
132 0.007289 7289
133 0.005255 5255
134 0.006841 6841
135 0.00729 7290
136 0.004701 4701
137 0.004592 4592
138 0.00413 4130
139 0.00308 3080
140 0.002747 2747
141 0.00252 2520
142 0.002773 2773
143 0.001264 1264
144 0.001408 1408
145 0.002044 2044
146 0.00134 1340
147 0.00124 1240
148 0.000722 722
149 0.001056 1056
150 0.00119 1190
151 0.00052 520
152 0.000269 269
153 0.00059 590
154 0.000117 117
155 0.000041 41
156 0.000026 26
157 0.000045 45
158 0.000078 78
159 0.000159 159
160 0.000155 155
161 0.000055 55
162 0 0
163 0 0
164 0 0
165 0 0
166 0 0
167 0 0
168 0 0
169 0 0
170 0 0
171 0 0
172 0 0
173 0 0
174 0 0
175 0 0
176 0 0
177 0 0
178 0 0
179 0 0
180 0 0
181 0 0
182 0 0
183 0 0
184 0 0
185 0 0
186 0 0
187 0 0
188 0 0
189 0 0
190 0 0
191 0 0
192 0 0
193 0 0
194 0 0
195 0 0
196 0 0
197 0 0
198 0 0
199 0 0
200 0 0
