#{"fraction":true,"graph_seed":875629289,"graph_type":{"SmallWorld":0.1},"lambda_range":{"end":0.25,"start":0.05,"steps":20},"num_networks":100000,"recovery_prob":0.14,"sir_seed":1489264107025,"system_size_range":[200,400,600,1000,1200,1600,2000,2400,2800,3200]}
#lambda c var_c
0.05 0.007271283333329049 0.00008081657757537863
0.060526315789473685 0.010379183333328651 0.00021397408111083628
0.07105263157894737 0.01538803333334876 0.0005904259301321381
0.08157894736842106 0.02453015000002079 0.0017979046020888166
0.09210526315789475 0.04179271666668246 0.005382082028063698
0.10263157894736842 0.0727223833333756 0.014376384545647783
0.11315789473684211 0.1257202333333913 0.03276898548615885
0.12368421052631579 0.20223305000007094 0.060152918182082495
0.13421052631578947 0.2929420666667458 0.08935605396585894
0.14473684210526316 0.3841450333333255 0.11238174986537067
0.15526315789473683 0.4692560833332583 0.12755469206035328
0.16578947368421054 0.5429954999998834 0.1346897664799418
0.1763157894736842 0.6055036833331932 0.13583494983114025
0.18684210526315792 0.6583660499998668 0.13350844551326824
0.19736842105263158 0.7047505833331903 0.1276035432639201
0.2078947368421053 0.7421411999998608 0.121288299874026
0.21842105263157896 0.7753374166665185 0.11354989723362396
0.22894736842105262 0.8028766166665102 0.10579725677122842
0.23947368421052634 0.8267174333331758 0.09805806120069682
0.25 0.8472733666665179 0.09046536685966944
