#{"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda_range":{"end":0.5,"start":0.05,"steps":50},"lockdown":{"dynamic_bool":false,"lock_style":{"LimitContacts":2},"lock_threshold":0.1,"release_threshold":0.05},"num_networks":50000,"recovery_prob":0.14,"sir_seed":1489264107025,"system_size_range":[3000]}
#lambda c var_c  m var_m
0.05 0.10534266666666649 0.02596210506844014 0.02545237333333586 0.0015103345050336572
0.05918367346938776 0.13624621333333697 0.03229155917454944 0.03736912000000326 0.0023683907726477138
0.06836734693877551 0.17757752000000873 0.041725252879540944 0.046117973333333936 0.0027479140822928563
0.07755102040816327 0.22226981333334758 0.05359318288076637 0.05258234666666533 0.002945045867915543
0.08673469387755102 0.26776962666668386 0.06127276163923577 0.060468533333330486 0.003088601738737829
0.09591836734693879 0.29532285333334957 0.06444879061905544 0.06589751999999628 0.003183764617849711
0.10510204081632654 0.32587517333334937 0.06630051740496669 0.0721410399999957 0.0032413538766074158
0.11428571428571428 0.3528382400000158 0.06908350099814407 0.07694821333332923 0.0032985008736968434
0.12346938775510204 0.3856496000000163 0.07100601208206 0.08278570666666234 0.0033102427894785473
0.1326530612244898 0.41217576000001777 0.07338833875286391 0.0870482133333304 0.003337493711030223
0.14183673469387756 0.43976053333334786 0.0737507100690479 0.09197773333333127 0.003319494766418003
0.1510204081632653 0.46456874666667924 0.07327304758500708 0.09684183999999894 0.003308681234303586
0.16020408163265307 0.4858753600000173 0.07197322048264224 0.10122757333333282 0.003280590663711608
0.16938775510204085 0.5045288533333455 0.0703951855052618 0.10553463999999947 0.003272261653404159
0.17857142857142855 0.5168776000000117 0.07069033204046105 0.10903314666666658 0.003379299852410103
0.18775510204081636 0.5341546666666791 0.06801907639822108 0.11388474666666691 0.0033704723700029218
0.19693877551020406 0.5490424533333458 0.06607183613548823 0.11829976000000084 0.0034018420994983076
0.20612244897959187 0.5659539733333424 0.06287411402376863 0.12316381333333508 0.003374020782969724
0.21530612244897962 0.5770064266666773 0.06182713226980696 0.12667920000000094 0.003437842616249201
0.22448979591836737 0.5850363733333429 0.061361179441422775 0.12921962666666809 0.0035038146619052885
0.23367346938775513 0.5995197066666765 0.05792943898053282 0.13409322666666848 0.003472799931010871
0.24285714285714283 0.6100957600000068 0.05639891871446945 0.138157440000001 0.0035273630348685997
0.25204081632653064 0.6200381333333406 0.05423318574584418 0.14196237333333478 0.0035504468420113865
0.2612244897959184 0.6322070933333418 0.05114518356567993 0.14710776000000084 0.0035452552411155344
0.27040816326530615 0.6344959733333402 0.05280051113933959 0.14952293333333508 0.0037435871273949657
0.2795918367346939 0.6467738933333387 0.04906639775577332 0.15556834666666805 0.0037650644398438265
0.28877551020408165 0.6555322400000027 0.04682041256947039 0.16072842666666806 0.003799864274590673
0.29795918367346935 0.6619152000000051 0.04596615149340061 0.16519224000000157 0.003973636226003829
0.3071428571428571 0.6697615733333389 0.04396915663716344 0.17074640000000232 0.004090517464816628
0.3163265306122449 0.6751932266666697 0.04303575574789792 0.1751556800000018 0.004219697150403524
0.32551020408163267 0.6853492533333398 0.039481695364319724 0.1808590666666687 0.004246432200017018
0.3346938775510204 0.6892012533333363 0.039248385905978844 0.18535216000000232 0.0044872269166666146
0.3438775510204081 0.6960162400000037 0.037134103780696814 0.18972373333333536 0.004547524085616858
0.3530612244897959 0.6998502400000043 0.03639935138526329 0.1941860000000025 0.004745244790665591
0.3622448979591837 0.706266480000007 0.03413269401061714 0.19824669333333558 0.004815527506842977
0.37142857142857144 0.7128888533333382 0.03149348000196117 0.20220106666666804 0.004873557172195189
0.3806122448979592 0.715023093333339 0.03186692773334843 0.20497309333333433 0.0051115482093647
0.3897959183673469 0.7236787466666698 0.027436040769619696 0.21075397333333584 0.00501998475087901
0.3989795918367347 0.7235580533333383 0.029039394700907772 0.21220880000000256 0.005393333522559815
0.40816326530612246 0.7248992800000043 0.029658336264356322 0.21424381333333514 0.005574181612835925
0.4173469387755102 0.732488960000002 0.02538967771810774 0.21792666666666827 0.005433354017777607
0.42653061224489797 0.7321069333333382 0.027207568138583382 0.21908698666666807 0.0056780516333201705
0.43571428571428567 0.7369625333333389 0.02503256955623423 0.22372034666666882 0.005725940309568925
0.4448979591836735 0.7420540000000034 0.022874298337318244 0.22583565333333372 0.005616987274618679
0.45408163265306123 0.7449562666666716 0.021894062407381898 0.22969802666666764 0.005701183425440119
0.463265306122449 0.7479012266666687 0.02118510203048618 0.2335356266666673 0.005778351112963723
0.47244897959183674 0.7508767733333368 0.020045931224068392 0.23596120000000018 0.005782046965672152
0.4816326530612245 0.7527993866666668 0.019703602340952697 0.23789040000000183 0.0058786280411735545
0.49081632653061225 0.7562352266666714 0.018611083823956265 0.24392416000000125 0.006009825661628131
0.5 0.7576184800000023 0.018525008033593138 0.24666786666666776 0.006050794336338164
