#{"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lifespanpercent":0.9,"lockdown":{"dynamic_bool":false,"lock_style":{"LimitContacts":2},"lock_threshold":0.1,"release_threshold":0.05},"num_networks":100000,"recovery_prob":0.14,"sir_seed":1489264107025,"system_size_range":[9600,600,1200,4800,200],"trans_prob_range":{"end":0.25,"start":0.05,"steps":100}}
#lambda percentlifespan
0.05 100
0.05202020202020202 102
0.05404040404040404 103
0.05606060606060606 105
0.05808080808080809 107
0.060101010101010106 107
0.062121212121212126 110
0.06414141414141414 111
0.06616161616161617 112
0.06818181818181819 113
0.07020202020202021 114
0.07222222222222223 115
0.07424242424242425 115
0.07626262626262627 115
0.07828282828282829 116
0.0803030303030303 117
0.08232323232323233 117
0.08434343434343435 116
0.08636363636363636 117
0.08838383838383838 118
0.0904040404040404 117
0.09242424242424244 118
0.09444444444444444 118
0.09646464646464648 118
0.0984848484848485 119
0.10050505050505051 119
0.10252525252525253 119
0.10454545454545455 119
0.10656565656565657 120
0.10858585858585859 120
0.11060606060606061 121
0.11262626262626263 120
0.11464646464646466 121
0.11666666666666667 121
0.11868686868686869 121
0.12070707070707071 121
0.12272727272727274 121
0.12474747474747476 121
0.12676767676767675 121
0.12878787878787878 121
0.13080808080808082 121
0.13282828282828285 121
0.13484848484848486 121
0.13686868686868686 121
0.1388888888888889 121
0.14090909090909093 121
0.14292929292929293 121
0.14494949494949494 121
0.14696969696969697 120
0.148989898989899 121
0.15101010101010104 120
0.15303030303030302 121
0.15505050505050505 120
0.15707070707070708 120
0.1590909090909091 120
0.16111111111111112 120
0.16313131313131313 120
0.16515151515151516 120
0.1671717171717172 119
0.16919191919191917 119
0.1712121212121212 119
0.17323232323232324 119
0.17525252525252527 119
0.1772727272727273 119
0.17929292929292934 118
0.18131313131313131 118
0.18333333333333335 118
0.18535353535353538 118
0.18737373737373736 119
0.1893939393939394 118
0.19141414141414143 118
0.19343434343434346 118
0.1954545454545455 118
0.19747474747474747 118
0.1994949494949495 117
0.20151515151515154 117
0.2035353535353535 117
0.20555555555555555 117
0.20757575757575758 117
0.2095959595959596 117
0.21161616161616165 116
0.21363636363636368 116
0.21565656565656566 116
0.2176767676767677 116
0.21969696969696972 116
0.2217171717171717 116
0.22373737373737373 116
0.22575757575757577 115
0.2277777777777778 115
0.22979797979797983 115
0.2318181818181818 115
0.23383838383838385 115
0.23585858585858588 115
0.2378787878787879 115
0.2398989898989899 114
0.24191919191919192 114
0.24393939393939396 114
0.245959595959596 114
0.24797979797979802 114
0.25 113
