#{"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lifespanpercent":0.95,"lockdown":{"dynamic_bool":false,"lock_style":{"LimitContacts":2},"lock_threshold":0.1,"release_threshold":0.05},"num_networks":10000,"recovery_prob":0.14,"sir_seed":1489264107025,"system_size_range":[200],"trans_prob_range":{"end":0.25,"start":0.05,"steps":20}}
#lambda percentlifespan
0.05 77
0.060526315789473685 82
0.07105263157894737 85
0.08157894736842106 87
0.09210526315789475 89
0.10263157894736842 90
0.11315789473684211 91
0.12368421052631579 91
0.13421052631578947 92
0.14473684210526316 93
0.15526315789473683 93
0.16578947368421054 93
0.1763157894736842 93
0.18684210526315792 92
0.19736842105263158 92
0.2078947368421053 93
0.21842105263157896 92
0.22894736842105262 92
0.23947368421052634 91
0.25 90
