#{"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda_range":{"end":0.25,"start":0.05,"steps":50},"lockdown":{"dynamic_bool":false,"lock_style":{"LimitContacts":2},"lock_threshold":0.1,"release_threshold":0.05},"num_networks":20000,"recovery_prob":0.14,"sir_seed":1489264107025,"system_size_range":[3000,400,600,800,1000,1200,1600,2000,2500,200]}
#lambda c var_c
0.05 58.32 7235.1708
0.05408163265306123 65.6242 8228.59177436
0.05816326530612245 73.52 9205.7788
0.06224489795918368 81.3728 10208.32542016
0.0663265306122449 89.6526 11230.962313239997
0.07040816326530613 98.2388 12260.618574560001
0.07448979591836735 106.7178 13088.793363159999
0.07857142857142857 115.9328 14179.29428416
0.08265306122448979 124.581 15033.716239000001
0.08673469387755103 133.4068 15809.632113759999
0.09081632653061225 141.8628 16527.257576160002
0.09489795918367347 148.328 16900.581615999996
0.0989795918367347 156.28 17579.211600000002
0.10306122448979593 164.9494 18219.67123964
0.10714285714285715 171.7944 18462.031728640002
0.11122448979591837 179.2624 19003.583546239995
0.11530612244897959 186.0602 19500.008575959997
0.11938775510204082 192.2702 19681.16479196
0.12346938775510205 199.269 20181.459439
0.12755102040816327 205.254 20318.791884000006
0.1316326530612245 212.389 20508.538878999992
0.13571428571428573 219.2672 20586.128604160003
0.13979591836734695 227.1956 20725.056140639994
0.14387755102040817 232.824 21066.534623999993
0.14795918367346939 236.3046 21010.051818840002
0.1520408163265306 241.9198 21092.20056795999
0.15612244897959185 247.8524 21315.408214240015
0.16020408163265304 251.9978 21300.258995159995
0.16428571428571428 257.1572 21286.823288159998
0.16836734693877553 262.48 21332.834000000003
0.17244897959183675 268.387 21175.132031
0.17653061224489797 273.0354 21007.422946840015
0.18061224489795918 278.1564 20905.561139039986
0.1846938775510204 282.6524 20928.528774239996
0.18877551020408162 286.2284 20543.634633439986
0.1928571428571429 291.9074 20542.27962524
0.1969387755102041 294.9592 20284.34033536
0.20102040816326533 299.43 20205.563899999994
0.20510204081632655 302.2404 19844.342207839974
0.20918367346938777 307.4666 19794.686884439987
0.21326530612244898 311.0574 19385.563705240012
0.2173469387755102 315.7924 18896.783302240015
0.22142857142857142 319.4062 18747.530801559988
0.22551020408163264 323.7772 18396.96076016
0.2295918367346939 326.1244 18222.270124640025
0.23367346938775513 329.6902 17998.752623959997
0.23775510204081635 335.0452 17690.39835695998
0.24183673469387756 337.9842 17199.99235036
0.24591836734693878 340.4584 17061.55586944001
0.25 342.5038 16844.472785559978
