#{"energy":"C","graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda":0.9,"large_deviation_param":{"markov_seed":782063498562509862,"time_steps":150},"lockdown":{"dynamic_bool":true,"lock_style":{"Random":[12151515,0.6]},"lock_threshold":0.1,"release_threshold":0.05},"randomize":{"Markov":{"every":10,"step_size":1000}},"recovery_prob":0.14,"samples":1000000,"sir_seed":1489264107025,"system_size":200}
#bin log10_prob hits
1 0.000699 699
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0 0
37 0 0
38 0 0
39 0 0
40 0 0
41 0 0
42 0 0
43 0 0
44 0 0
45 0 0
46 0 0
47 0 0
48 0 0
49 0 0
50 0 0
51 0 0
52 0 0
53 0 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
71 0 0
72 0 0
73 0 0
74 0 0
75 0 0
76 0 0
77 0 0
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
101 0 0
102 0 0
103 0 0
104 0 0
105 0 0
106 0 0
107 0 0
108 0 0
109 0 0
110 0 0
111 0 0
112 0 0
113 0 0
114 0 0
115 0 0
116 0 0
117 0 0
118 0 0
119 0 0
120 0 0
121 0 0
122 0 0
123 0 0
124 0 0
125 0.000001 1
126 0.000012 12
127 0.000018 18
128 0.000084 84
129 0.000118 118
130 0.000182 182
131 0.000337 337
132 0.000384 384
133 0.000855 855
134 0.001503 1503
135 0.002491 2491
136 0.00418 4180
137 0.005384 5384
138 0.007048 7048
139 0.008093 8093
140 0.009541 9541
141 0.010572 10572
142 0.011691 11691
143 0.012031 12031
144 0.013299 13299
145 0.014692 14692
146 0.015202 15202
147 0.017286 17286
148 0.018976 18976
149 0.021097 21097
150 0.023652 23652
151 0.026485 26485
152 0.030564 30564
153 0.032537 32537
154 0.033808 33808
155 0.036343 36343
156 0.036838 36838
157 0.038021 38021
158 0.038411 38411
159 0.03779 37790
160 0.039655 39655
161 0.038659 38659
162 0.039684 39684
163 0.037831 37831
164 0.037214 37214
165 0.035991 35991
166 0.033268 33268
167 0.031058 31058
168 0.028526 28526
169 0.025907 25907
170 0.022928 22928
171 0.019329 19329
172 0.016795 16795
173 0.013919 13919
174 0.011756 11756
175 0.009837 9837
176 0.008552 8552
177 0.007236 7236
178 0.005698 5698
179 0.004733 4733
180 0.004459 4459
181 0.004 4000
182 0.003238 3238
183 0.00267 2670
184 0.002442 2442
185 0.001554 1554
186 0.001042 1042
187 0.000858 858
188 0.000496 496
189 0.000268 268
190 0.000061 61
191 0.00008 80
192 0 0
193 0.000026 26
194 0.000005 5
195 0 0
196 0 0
197 0 0
198 0 0
199 0 0
200 0 0
