#{"energy":"C","graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda":0.4,"large_deviation_param":{"markov_seed":782063498562509862,"time_steps":100},"lockdown":{"dynamic_bool":true,"lock_style":{"Random":[12151515,0.6]},"lock_threshold":0.1,"release_threshold":0.05},"randomize":{"Markov":{"every":1,"step_size":100}},"recovery_prob":0.14,"samples":1000000,"sir_seed":1489264107025,"system_size":200}
#bin log10_prob hits
1 1.754435491702589 284057
2 0.9452124629902194 44074
3 0.7403626894942443 27500
4 0.039731296098691304 5479
5 -0.01673464743345421 4811
6 -0.44879405625209334 1779
7 -inf 0
8 -0.15021217576231405 3538
9 -inf 0
10 -1.2132485778544384 306
11 -inf 0
12 -inf 0
13 -1.5228787452803372 150
14 -1.3223930472795067 238
15 -inf 0
16 -1.7399286120149247 91
17 -1.6819366650372383 104
18 -1.4894549897933878 162
19 -2.1938200260161125 32
20 -1.790484985457369 81
21 -inf 0
22 -inf 0
23 -inf 0
24 -1.790484985457369 81
25 -inf 0
26 -2.5528419686577806 14
27 -2.585026652029182 13
28 -inf 0
29 -1.5985994592184556 126
30 -inf 0
31 -1.581698708680254 131
32 -inf 0
33 -inf 0
34 -inf 0
35 -inf 0
36 -inf 0
37 -inf 0
38 -inf 0
39 -inf 0
40 -inf 0
41 -inf 0
42 -inf 0
43 -inf 0
44 -inf 0
45 -inf 0
46 -inf 0
47 -1.2628073572952625 273
48 -1.943095148663527 57
49 -2.107905397309519 39
50 -1.5142785735184197 153
51 -1.6575773191777936 110
52 -1.4788619162959635 166
53 -inf 0
54 -inf 0
55 -inf 0
56 -inf 0
57 -inf 0
58 -1.6055483191737834 124
59 -1.1463017882238253 357
60 -0.7342390832823893 922
61 -1.2823294969977377 261
62 -0.6126101736612701 1220
63 -0.26137797208205726 2739
64 -0.22083657623550113 3007
65 -0.24018112262517355 2876
66 -0.2991232916230959 2511
67 -0.09172950050427597 4048
68 -0.05858795962645025 4369
69 -0.2006594505464181 3150
70 -0.34524606674706937 2258
71 0.028001579346857985 5333
72 0.10181578599174412 6321
73 0.07371835034612295 5925
74 0.08891534660490596 6136
75 0.20989016868125776 8107
76 0.15344898860098266 7119
77 0.3664229572259734 11625
78 0.36765404664740786 11658
79 0.3692529750104312 11701
80 0.3935401073479634 12374
81 0.3897329560154559 12266
82 0.48310209952136796 15208
83 0.44185217577329206 13830
84 0.4767736800857423 14988
85 0.39389093900279915 12384
86 0.36119880760912904 11486
87 0.5473069410980431 17631
88 0.5435962684737936 17481
89 0.5083680909523383 16119
90 0.5405296796956078 17358
91 0.6249418046599937 21082
92 0.5620310189991777 18239
93 0.6206148687740873 20873
94 0.7005998893208238 25094
95 0.5987905067631154 19850
96 0.5767098257666847 18866
97 0.5675909349508228 18474
98 0.48995847942483484 15450
99 0.5214519181018222 16612
100 0.504171714775967 15964
101 0.41407041375180165 12973
102 0.4170396750887193 13062
103 0.457972680516207 14353
104 0.4245876536679305 13291
105 0.3292758122364552 10672
106 0.35156441520410486 11234
107 0.31672498419049977 10368
108 0.35782054393836416 11397
109 0.28672585535382367 9676
110 0.20303288701471067 7980
111 0.19777661127138724 7884
112 0.18184358794477284 7600
113 -0.03592902944204446 4603
114 0.04289038972924497 5519
115 -0.14302956651750764 3597
116 -0.21838821750684967 3024
117 -0.2269453066357372 2965
118 -0.22054781659593803 3009
119 -0.15864052954514496 3470
120 -0.27835423371025336 2634
121 -0.30821147559730133 2459
122 -0.4846561069116191 1638
123 -0.3569423162485468 2198
124 -0.9051796196451998 622
125 -0.7804154737857452 829
126 -0.9641701747471714 543
127 -0.6326440789739809 1165
128 -0.9746941347352294 530
129 -0.8102290436531259 774
130 -0.9665762445130499 540
131 -0.8002448227465251 792
132 -0.9423338960901704 571
133 -1.099086932262331 398
134 -1.166215625343521 341
135 -1.4067139329795426 196
136 -2.6989700043360187 10
137 -2.0362121726544444 46
138 -1.8927900303521314 64
139 -inf 0
140 -2.6197887582883936 12
141 -inf 0
142 -inf 0
143 -inf 0
144 -inf 0
145 -inf 0
146 -inf 0
147 -inf 0
148 -inf 0
149 -inf 0
150 -inf 0
151 -inf 0
152 -inf 0
153 -inf 0
154 -inf 0
155 -inf 0
156 -inf 0
157 -inf 0
158 -inf 0
159 -inf 0
160 -inf 0
161 -inf 0
162 -inf 0
163 -inf 0
164 -inf 0
165 -inf 0
166 -inf 0
167 -inf 0
168 -inf 0
169 -inf 0
170 -inf 0
171 -inf 0
172 -inf 0
173 -inf 0
174 -inf 0
175 -inf 0
176 -inf 0
177 -inf 0
178 -inf 0
179 -inf 0
180 -inf 0
181 -inf 0
182 -inf 0
183 -inf 0
184 -inf 0
185 -inf 0
186 -inf 0
187 -inf 0
188 -inf 0
189 -inf 0
190 -inf 0
191 -inf 0
192 -inf 0
193 -inf 0
194 -inf 0
195 -inf 0
196 -inf 0
197 -inf 0
198 -inf 0
199 -inf 0
200 -inf 0
