#{"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lambda_range":{"end":0.25,"start":0.05,"steps":50},"lockdown":{"dynamic_bool":false,"lock_style":{"LimitContacts":2},"lock_threshold":0.1,"release_threshold":0.05},"num_networks":100000,"recovery_prob":0.14,"sir_seed":1489264107025,"system_size_range":[3500,400,600,800,1000,1200,1600,2000,2500,3000,200]}
#lambda c var_c  m var_m
0.05 0.10192459999999207 0.023832454508596678 0.02869410000000798 0.001827487343939144
0.05408163265306123 0.11790262499999864 0.027069437752488948 0.03409382500000817 0.0021760188937440614
0.05816326530612245 0.1329177500000026 0.029976750891192252 0.038891750000008114 0.002454120500687497
0.06224489795918368 0.14897400000000563 0.033570022605254754 0.04278962500000575 0.00264386341423474
0.0663265306122449 0.16771087500000523 0.03778466982861443 0.04667907500000123 0.0027976293790202707
0.07040816326530613 0.18886442499999156 0.04280311917255485 0.05021124999999859 0.002903356685938275
0.07448979591836735 0.20566929999998548 0.04701956981876715 0.052829699999996954 0.0029898486416606368
0.07857142857142857 0.22164332499997913 0.05090597606107108 0.055378299999995786 0.003077598420360381
0.08265306122448979 0.24413362499997326 0.05432272131623201 0.05955782499999303 0.0031465419656446884
0.08673469387755103 0.25776624999996883 0.05704929292343393 0.0617943749999928 0.00320224895273456
0.09081632653061225 0.27302694999996757 0.05909885735494272 0.06483474999999136 0.003268071129937605
0.09489795918367347 0.28896627499996885 0.06069065249074365 0.06788247499999184 0.0032927600097493416
0.0989795918367347 0.2992293499999642 0.06213898553607353 0.06999507499999054 0.003350633991369315
0.10306122448979593 0.31471594999996166 0.06335661447184372 0.07303962499998987 0.00337483435173437
0.10714285714285715 0.32355704999996376 0.06483718023904744 0.07467134999998978 0.003425324020427549
0.11122448979591837 0.33934267499996856 0.06531988350197479 0.07804559999998863 0.0034417356956401744
0.11530612244897959 0.35152687499997565 0.06641801132461668 0.08024897499998934 0.0034573773083244642
0.11938775510204082 0.3639635999999813 0.06722348321879673 0.08258789999998992 0.0034703559610901116
0.12346938775510205 0.37718119999998606 0.06787458186656933 0.08498039999999084 0.0034703701158403646
0.12755102040816327 0.38888009999999135 0.06842368051150027 0.08746979999999141 0.003500678806710675
0.1316326530612245 0.40389182499999426 0.06829605090130406 0.09019479999999358 0.003463019021710626
0.13571428571428573 0.41205209999999454 0.06951560182310032 0.09167579999999252 0.003514465288110998
0.13979591836734695 0.42422802500000223 0.06931129600773017 0.09426984999999523 0.003515682068478425
0.14387755102040817 0.4344818000000004 0.06952431571876694 0.09617924999999497 0.003513742275688573
0.14795918367346939 0.4415760250000021 0.07034285578582916 0.09778112499999568 0.0035779743281103994
0.1520408163265306 0.45200120000000255 0.070174170854817 0.09975139999999622 0.0035603913542910787
0.15612244897959185 0.4599869750000089 0.06987829725222577 0.10209824999999803 0.0036110542531884397
0.16020408163265304 0.4710651000000095 0.06909279778074098 0.10424199999999813 0.003572480998501028
0.16428571428571428 0.47908080000000797 0.0686929336651114 0.10622172499999799 0.003591106466150509
0.16836734693877553 0.4854056250000119 0.06917735089023377 0.10755784999999862 0.0036305923721285764
0.17244897959183675 0.4957236000000114 0.06759072534054125 0.11021042499999821 0.0036044325806957236
0.17653061224489797 0.5025582000000102 0.06744684795651085 0.11198614999999879 0.0036374934581787956
0.18061224489795918 0.5077385750000153 0.06749120487884075 0.11335149999999927 0.003672799322751304
0.1846938775510204 0.5173388750000142 0.06592126099185353 0.11549630000000055 0.0036144157800610723
0.18877551020408162 0.5246348000000177 0.0648836335039466 0.11764007500000029 0.003623486457120557
0.1928571428571429 0.5292610250000175 0.06496089749406042 0.11879800000000042 0.003663185102251153
0.1969387755102041 0.5358553750000182 0.0643861195367153 0.12060139999999965 0.003666309568041372
0.20102040816326533 0.5427407250000172 0.06320499003583163 0.12272512500000127 0.0036562619281104974
0.20510204081632655 0.5481701250000142 0.06267983322934434 0.12446920000000102 0.00368906162636113
0.20918367346938777 0.5533778500000157 0.06210577519186267 0.12627237500000155 0.003718951108735352
0.21326530612244898 0.5615362000000189 0.060364128777038006 0.12900627500000264 0.0036997210262501197
0.2173469387755102 0.5666971000000189 0.059565045195312916 0.1307308000000016 0.0037104605876109517
0.22142857142857142 0.5690108750000137 0.06014925877234212 0.1321973000000017 0.00380961602896103
0.22551020408163264 0.5773004500000126 0.058111987429778966 0.1351895750000016 0.0037973750456953143
0.2295918367346939 0.5779542250000127 0.05981546466400328 0.1362989500000023 0.003952683822648514
0.23367346938775513 0.5867163750000188 0.05680793607245882 0.13937630000000242 0.003875314654560612
0.23775510204081635 0.5918151250000179 0.055830449680584426 0.14181597500000256 0.003924588875425412
0.24183673469387756 0.5982096750000171 0.054540021564492225 0.14434725000000223 0.0039340379486882265
0.24591836734693878 0.5982330250000194 0.05587188718994335 0.14577982500000355 0.004099046951094837
0.25 0.6065911000000156 0.05321159118201235 0.14911770000000388 0.004063346765460312
