#{"fraction":true,"graph_seed":875629289,"graph_type":{"Barabasi":[2,10]},"lifespanpercent":0.95,"lockdown":{"dynamic_bool":false,"lock_style":{"LimitContacts":2},"lock_threshold":0.1,"release_threshold":0.05},"num_networks":100000,"recovery_prob":0.14,"sir_seed":1489264107025,"system_size_range":[200],"trans_prob_range":{"end":0.5,"start":0.05,"steps":75}}
#lambda percentlifespan
0.05 77
0.056081081081081084 80
0.062162162162162166 82
0.06824324324324324 84
0.07432432432432433 85
0.08040540540540542 86
0.08648648648648649 88
0.09256756756756757 89
0.09864864864864865 89
0.10472972972972974 90
0.11081081081081082 91
0.1168918918918919 91
0.12297297297297298 91
0.12905405405405407 92
0.13513513513513514 92
0.14121621621621622 92
0.1472972972972973 92
0.1533783783783784 93
0.15945945945945947 93
0.16554054054054054 93
0.17162162162162165 92
0.17770270270270272 93
0.1837837837837838 92
0.18986486486486487 92
0.19594594594594594 92
0.20202702702702702 92
0.20810810810810815 92
0.21418918918918917 92
0.2202702702702703 92
0.22635135135135137 91
0.23243243243243245 91
0.23851351351351352 91
0.2445945945945946 91
0.25067567567567567 90
0.2567567567567568 90
0.2628378378378378 90
0.26891891891891895 90
0.275 89
0.2810810810810811 89
0.28716216216216217 89
0.29324324324324325 88
0.2993243243243243 88
0.3054054054054054 88
0.31148648648648647 88
0.3175675675675676 87
0.3236486486486487 87
0.3297297297297297 87
0.33581081081081077 86
0.3418918918918919 86
0.34797297297297297 86
0.35405405405405405 86
0.3601351351351351 86
0.36621621621621625 85
0.3722972972972973 85
0.37837837837837834 85
0.3844594594594594 85
0.39054054054054055 85
0.3966216216216216 84
0.4027027027027027 84
0.40878378378378377 84
0.4148648648648649 84
0.420945945945946 84
0.427027027027027 83
0.43310810810810807 83
0.4391891891891892 83
0.4452702702702703 83
0.45135135135135135 83
0.4574324324324324 83
0.46351351351351355 83
0.4695945945945946 83
0.47567567567567565 82
0.4817567567567567 82
0.48783783783783785 82
0.4939189189189189 82
0.5 82
